t_yr,body,a_au,e
540.0,TRAPPIST-1 f,0.039269472695289874,0.025044306347540263
540.0,TRAPPIST-1 g,0.04709655007922725,0.017929410758806826
540.0,TRAPPIST-1 h,0.06207020441804385,0.016020230419301215
540.0,TRAPPIST-1 e moon (safe),0.00013405389293845278,0.0535297912847018
540.0,TRAPPIST-1 g moon (risky),-6.231925779698544e-06,823.8119653170461
560.0,TRAPPIST-1 b,0.011520532548092021,0.014533045413258368
560.0,TRAPPIST-1 c,0.015808341078435026,0.012228360613545838
560.0,TRAPPIST-1 d,0.022299414724863943,0.02353789175420006
560.0,TRAPPIST-1 e,0.029292441066703867,0.01551664509642133
560.0,TRAPPIST-1 f,0.03932851104525228,0.016843369015859682
560.0,TRAPPIST-1 g,0.04699294634452235,0.01855984726594524
560.0,TRAPPIST-1 h,0.062164524057923005,0.026141788932113618
560.0,TRAPPIST-1 e moon (safe),0.00013400479443312645,0.06908396278186393
560.0,TRAPPIST-1 g moon (risky),-1.5667693650939539e-06,24367.710446940855
580.0,TRAPPIST-1 b,0.011518730533330947,0.006903046479005332
580.0,TRAPPIST-1 c,0.015812015095090594,0.009972129125579376
580.0,TRAPPIST-1 d,0.022250704832706827,0.03258303270564276
580.0,TRAPPIST-1 e,0.02923655098303013,0.024574488916125577
580.0,TRAPPIST-1 f,0.03937943633402509,0.02683063212642706
580.0,TRAPPIST-1 g,0.04705271206012398,0.012520969533457358
580.0,TRAPPIST-1 h,0.06213772052892532,0.02950794747265995
580.0,TRAPPIST-1 e moon (safe),0.00013345487421306386,0.061232705084264434
580.0,TRAPPIST-1 g moon (risky),-3.177012848601946e-07,170074.44572547378
600.0,TRAPPIST-1 b,0.011517065718255488,0.007545518673345193
600.0,TRAPPIST-1 c,0.01580610819615786,0.006234360396810124
600.0,TRAPPIST-1 d,0.022272738707672577,0.03601085248853022
600.0,TRAPPIST-1 e,0.029200299372289303,0.01324251645791102
600.0,TRAPPIST-1 f,0.03937927049923548,0.015569751077738002
600.0,TRAPPIST-1 g,0.04706351767406689,0.02001783735423815
600.0,TRAPPIST-1 h,0.06203220032043356,0.032523982364837535
600.0,TRAPPIST-1 e moon (safe),0.0001340361442277631,0.06482823840835998
600.0,TRAPPIST-1 g moon (risky),-1.0635266110653578e-06,100351.40869843787
620.0,TRAPPIST-1 b,0.011515979752731127,0.010419855480454352
620.0,TRAPPIST-1 c,0.015812835580229508,0.007753845206705738
620.0,TRAPPIST-1 d,0.02233819492920209,0.01596393629158431
620.0,TRAPPIST-1 e,0.02916567309091752,0.012067583378909362
620.0,TRAPPIST-1 f,0.03938041516244059,0.017966035354422618
620.0,TRAPPIST-1 g,0.04704935056373208,0.014874974151853555
620.0,TRAPPIST-1 h,0.06205619559603135,0.03480132998728717
620.0,TRAPPIST-1 e moon (safe),0.0001361783778590184,0.08412355150004351
620.0,TRAPPIST-1 g moon (risky),-7.579093471340865e-07,22408.16305434298
640.0,TRAPPIST-1 b,0.011513264763923467,0.011645156976548419
640.0,TRAPPIST-1 c,0.015805147050343662,0.010590959578598838
640.0,TRAPPIST-1 d,0.022354311164149505,0.01594576472360556
640.0,TRAPPIST-1 e,0.02919093086521746,0.006843688067940814
640.0,TRAPPIST-1 f,0.039398310061443544,0.02221937554527604
640.0,TRAPPIST-1 g,0.047064468581838034,0.00843044515979838
640.0,TRAPPIST-1 h,0.06213433530365154,0.03942016907182871
640.0,TRAPPIST-1 e moon (safe),0.0001350938698680831,0.07349468750708503
640.0,TRAPPIST-1 g moon (risky),-1.0556251525573452e-06,84701.19979901346
660.0,TRAPPIST-1 b,0.011511142855678405,0.009982733506335034
660.0,TRAPPIST-1 c,0.015800847126472797,0.012622256855994324
660.0,TRAPPIST-1 d,0.02235807972702213,0.011306905093105054
660.0,TRAPPIST-1 e,0.02926289975581664,0.00911787664675786
660.0,TRAPPIST-1 f,0.03937410652684953,0.011037674676927468
660.0,TRAPPIST-1 g,0.04704895710541231,0.020645329405921134
660.0,TRAPPIST-1 h,0.06213050998015285,0.02957631001824435
660.0,TRAPPIST-1 e moon (safe),0.0001356144889254393,0.041015811035159215
660.0,TRAPPIST-1 g moon (risky),-4.5508120213001936e-06,4886.289350583816
680.0,TRAPPIST-1 b,0.011510562383517055,0.011637500739546872
680.0,TRAPPIST-1 c,0.015797744430997327,0.007588341458167386
680.0,TRAPPIST-1 d,0.02235480212555234,0.005818930408370708
680.0,TRAPPIST-1 e,0.029210957443765565,0.020167103154343245
680.0,TRAPPIST-1 f,0.039380829379842955,0.023953361000306133
680.0,TRAPPIST-1 g,0.04703094949064724,0.0075190380473418115
680.0,TRAPPIST-1 h,0.06215443182551162,0.030894208910170497
680.0,TRAPPIST-1 e moon (safe),0.0001345765048663825,0.035580407656962194
680.0,TRAPPIST-1 g moon (risky),-2.037620499918473e-06,15330.333696544332
700.0,TRAPPIST-1 b,0.011507342174024347,0.004231685387570768
700.0,TRAPPIST-1 c,0.01580722993767993,0.011527090216474847
700.0,TRAPPIST-1 d,0.022360437677366507,0.022389070718225764
700.0,TRAPPIST-1 e,0.029267329478123258,0.009729889396160365
700.0,TRAPPIST-1 f,0.039358628705789614,0.014051568370811366
700.0,TRAPPIST-1 g,0.04702404445042391,0.01574350799637079
700.0,TRAPPIST-1 h,0.0621135875953343,0.031036211440989378
700.0,TRAPPIST-1 e moon (safe),0.00013631570159534416,0.046600422205280295
700.0,TRAPPIST-1 g moon (risky),-6.763575110020813e-07,95199.132620223
720.0,TRAPPIST-1 b,0.011521238798164973,0.010666997202267405
720.0,TRAPPIST-1 c,0.01579963519092657,0.004978848768154061
720.0,TRAPPIST-1 d,0.02235626788440592,0.01301692055426509
720.0,TRAPPIST-1 e,0.029261960924417046,0.015320251196883676
720.0,TRAPPIST-1 f,0.03937436077581013,0.017872090599926938
720.0,TRAPPIST-1 g,0.047013664204785525,0.012192657559750353
720.0,TRAPPIST-1 h,0.062112080738045736,0.02839753060793397
720.0,TRAPPIST-1 e moon (safe),0.00013651025916585567,0.06868504094204005
720.0,TRAPPIST-1 g moon (risky),-5.807948023935381e-07,127055.30632141046
